id,name,status,county_winner,matched_county_fips,operator_group,mw,confidence,capacity_basis,capacity_mw_p05,capacity_mw_median,capacity_mw_p95
jefferson-proving-ground-data-center-jefferson-county-in,Jefferson Proving Ground Data Center,permitted,Trump,18077,Other,,reported,model estimate,190.38734234661823,728.7018831333509,2809.155823313342
meta-jeffersonville-in,Meta Jeffersonville Data Center,under_construction,Trump,18019,Meta,407.0,confirmed,reported,407.0,407.0,407.0
meta-lebanon-in,Meta Lebanon (Project Domino),under_construction,Trump,18011,Meta,1000.0,confirmed,reported,1000.0,1000.0,1000.0
microsoft-granger-in,Microsoft Granger Data Center,under_construction,Harris,18141,Microsoft,1000.0,reported,reported,1000.0,1000.0,1000.0
microsoft-laporte-in,Microsoft La Porte Data Center,under_construction,Trump,18091,Microsoft,,confirmed,model estimate,134.58663179416223,521.2129828823439,2080.288307136231
project-shirley-eagle-creek-township-lake-county-in,Project Shirley,proposed,Harris,18089,Other,500.0,reported,reported,500.0,500.0,500.0
sabey-decatur-technology-park-marion-county-in,Sabey Decatur Technology Park,permitted,Harris,18097,Other,250.0,confirmed,reported,250.0,250.0,250.0
beale-gardner-johnson-county-ks,Beale Infrastructure Gardner Campus,proposed,Harris,20091,Other,,reported,model estimate,108.0298964325445,433.989467388516,1661.2937050445573
beale-project-pilot-de-soto-ks,Beale Project Pilot (De Soto),under_construction,Harris,20091,Other,,confirmed,model estimate,107.31574404548303,397.9077316007465,1571.1178490021493
kanza-flint-hills-digital-campus-emporia-ks,Flint Hills Digital Campus,proposed,Trump,20111,Other,,reported,model estimate,273.67387629535807,1036.2347654211553,3978.593697859275
alcove-project-catalyst-osawatomie-ks,Project Catalyst,proposed,Trump,20121,Other,500.0,reported,reported,500.0,500.0,500.0
cave-point-commerce-center-cave-city-ky,Cave Point Commerce Center,proposed,Trump,21009,Other,,reported,model estimate,196.044850076662,727.8109440821855,2734.9194857645102
terawulf-hawesville-ky,Justified Data Campus,under_construction,Trump,21091,Other,401.0,confirmed,reported,401.0,401.0,401.0
powerhouse-louisville-ky,PowerHouse Data Centers – Louisville (Camp Ground Road),under_construction,Harris,21111,Other,402.0,reported,reported,402.0,402.0,402.0
tenkey-franklin-ky,TenKey LandCo Project Lionsgate – Franklin Data Center,proposed,Trump,21213,Other,,reported,model estimate,89.93995827426322,325.9378679965713,1185.2526936742966
terawulf-muskie-eastpark-ky,TeraWulf Muskie Data Campus (EastPark),proposed,Trump,21089,Other,1000.0,confirmed,reported,1000.0,1000.0,1000.0
aws-benton-bossier-parish-la,Amazon Web Services Bossier Parish Campus (Benton),under_construction,Trump,22015,Amazon,,confirmed,model estimate,39.25820552028149,411.5061245736921,3504.0577621112648
aws-blanchard-caddo-parish-la,Amazon Web Services Caddo Parish Campus (Blanchard),under_construction,Harris,22017,Amazon,,confirmed,model estimate,39.39701044916496,404.8153571944598,3795.31163314362
applied-digital-delta-forge-1-la,Applied Digital Delta Forge 1 AI Factory Campus,under_construction,Trump,22079,Other,300.0,confirmed,reported,300.0,300.0,300.0
stack-bossier-parish-la,Bossier Parish Campus (with Amazon),under_construction,Trump,22015,Other,,confirmed,model estimate,40.92357503753224,409.1871266567306,3765.3933896221333
stack-caddo-parish-la,Caddo Parish Campus (with Amazon),under_construction,Harris,22017,Other,,confirmed,model estimate,41.31346387226688,420.416344440496,3700.9313459970767
hut8-river-bend-west-feliciana-la,Hut 8 River Bend AI Data Center Campus,under_construction,Trump,22125,Other,330.0,confirmed,reported,330.0,330.0,330.0
meta-hyperion-richland-parish-la,Meta Hyperion,under_construction,Trump,22083,Meta,2000.0,reported,reported,2000.0,2000.0,2000.0
coresite-bo1-boston-ma-ma,"CoreSite BO1 - Boston, MA",operational,Harris,25017,Other,,reported,model estimate,40.00570050934203,423.83927408581485,3975.061592510803
markley-lowell-ma,Markley Group One Lowell Data Center,operational,Harris,25017,Other,,confirmed,model estimate,40.96411924912695,426.9323664565692,3781.5623895243098
aws-calvert-cliffs-md,AWS Calvert County Data Center Campus,cancelled,Trump,24009,Amazon,,reported,model estimate,40.968394980025884,423.7803836496357,3818.839915148888
aligned-quantum-frederick-md,Aligned Data Centers IAD-04 Frederick,under_construction,Harris,24021,Other,72.0,confirmed,reported,72.0,72.0,72.0
aligned-iad-06-frederick-md,Aligned Data Centers IAD-06 Frederick,under_construction,Harris,24021,Other,72.0,confirmed,reported,72.0,72.0,72.0
lerner-brightseat-tech-park-md,Brightseat Tech Park,permitted,Harris,24033,Other,820.0,confirmed,reported,820.0,820.0,820.0
rowan-digital-frederick-md,Rowan Digital Infrastructure Frederick Campus (Bauxite I),under_construction,Harris,24021,Other,300.0,confirmed,reported,300.0,300.0,300.0
terawulf-morgantown-charles-county-md,TeraWulf Morgantown Generating Station AI Campus,proposed,Harris,24017,Other,1000.0,confirmed,reported,1000.0,1000.0,1000.0
liquidcool-loring-afb-me,Loring LiquidCool Data Center (Green 4 Maine Campus),proposed,Trump,23003,Other,50.0,confirmed,reported,50.0,50.0,50.0
sentinel-jay-me,"Sentinel Data Centers Androscoggin Mill Campus, Jay",cancelled,Trump,23007,Other,82.0,reported,reported,82.0,82.0,82.0
wiscasset-proposed-me,Wiscasset Data Center (Old Ferry Road Site),proposed,Harris,23015,Other,,reported,model estimate,82.54588946559927,318.5464907700104,1250.5395547915557
alterra-marshall-technology-energy-center-mi,Marshall Technology & Energy Center,proposed,Trump,26025,Other,,reported,model estimate,106.09041271662402,410.7289016073973,1526.5609673585168
project-cannoli-van-buren-township-wayne-county-mi,Project Cannoli,proposed,Harris,26163,Google,1000.0,confirmed,reported,1000.0,1000.0,1000.0
verrus-project-flex-lyon-township-oakland-county-mi,Project Flex,proposed,Harris,26125,Other,,reported,model estimate,78.24518940558046,292.2760607539062,1119.053424482737
stargate-saline-township-mi,Stargate The Barn Campus,under_construction,Harris,26161,Other,1400.0,reported,reported,1400.0,1400.0,1400.0
switch-pyramid-campus-grand-rapids-mi,Switch Pyramid Campus,under_construction,Harris,26081,Other,320.0,confirmed,reported,320.0,320.0,320.0
thor-equities-augusta-township-mi,Thor Equities Augusta Township Data Center (Form8tion),cancelled,Harris,26161,Other,,reported,model estimate,233.62216101142442,904.0177319065269,3604.6099568177046
amazon-becker-mn,Amazon Becker Data Center (Suspended),cancelled,Trump,27141,Amazon,,confirmed,model estimate,118.0897835321522,469.7917259776136,1901.8816116988246
google-hermantown-mn,Google Hermantown Data Center Campus,proposed,Harris,27137,Google,700.0,confirmed,reported,700.0,700.0,700.0
google-skyway-pine-island-mn,Google Project Skyway (Pine Island),proposed,Trump,27049,Google,,confirmed,model estimate,46.212859208184824,491.9615218742068,4190.5260210452425
meta-rosemount-mn,Meta Rosemount Data Center,under_construction,Harris,27037,Meta,75.0,confirmed,reported,75.0,75.0,75.0
geronimo-nobles-county-powered-data-park-mn,Nobles County Powered Data Park,proposed,Trump,27105,Other,400.0,reported,reported,400.0,400.0,400.0
aws-green-new-florence-mo,AWS Project Green Campus,under_construction,Trump,29139,Amazon,,confirmed,model estimate,256.1247087990463,972.9287619546076,3680.7750241576755
cloverleaf-troy-mo,Cloverleaf Troy Campus,proposed,Trump,29113,Other,500.0,reported,reported,500.0,500.0,500.0
crusoe-warrenton-mo,Crusoe Warrenton Campus,permitted,Trump,29219,Other,,reported,model estimate,122.15407353334089,489.8701547354783,1923.3027488694177
google-project-mica-kc-northland-mo,Google Project Mica,under_construction,Trump,29047,Google,500.0,confirmed,reported,500.0,500.0,500.0
google-spade-new-florence-mo,Google Project Spade Campus,under_construction,Trump,29139,Google,1200.0,confirmed,reported,1200.0,1200.0,1200.0
lambda-kansas-city-mo,Lambda Kansas City AI Supercomputer,under_construction,Trump,29165,Other,100.0,confirmed,reported,100.0,100.0,100.0
meta-kansas-city-northland-mo,Meta Kansas City Northland,operational,Trump,29047,Meta,,confirmed,model estimate,31.051143779518878,320.51800163826846,3090.2683613882446
metrobloks-liberty-mo,Metrobloks Liberty Campus,proposed,Trump,29047,Other,150.0,reported,reported,150.0,150.0,150.0
nebius-independence-mo,Nebius AI Factory (Independence),under_construction,Harris,29095,Other,1200.0,confirmed,reported,1200.0,1200.0,1200.0
patmos-kansas-city-mo,Patmos KC Star Building Campus,operational,Harris,29095,Other,35.0,reported,reported,35.0,35.0,35.0
lumon-marshfield-mo,Rifle Range Road Data Center,under_construction,Trump,29225,Other,,reported,model estimate,5.522337604600676,20.76348721130154,77.64862096073855
avaio-taurus-brandon-ms,AVAIO Digital Taurus,under_construction,Trump,28121,Other,116.0,confirmed,reported,116.0,116.0,116.0
aws-project-atlas-madison-county-ms,AWS Project Atlas – Madison County Campus,under_construction,Trump,28089,Amazon,1000.0,confirmed,reported,1000.0,1000.0,1000.0
compass-lauderdale-meridian-ms,Compass Datacenters Lauderdale County Hyperscale Campus,under_construction,Trump,28075,Other,500.0,confirmed,reported,500.0,500.0,500.0
xai-southaven-ms,xAI Southaven,operational,Trump,28033,Other,2000.0,confirmed,reported,2000.0,2000.0,2000.0
quantica-bsdi-billings-mt,Big Sky Digital Infrastructure Campus,proposed,Trump,30111,Other,1000.0,reported,reported,1000.0,1000.0,1000.0
aws-richmond-county-nc,Amazon Web Services Richmond County Data Center Campus,under_construction,Trump,37153,Amazon,,confirmed,model estimate,209.5112952476282,854.164620406807,3369.7760744548455
apple-maiden-nc,Apple Maiden Data Center (iCloud),operational,Trump,37035,Other,,confirmed,model estimate,77.19198894273492,296.17113044750147,1122.2014985997691
compass-statesville-nc,Compass Statesville Campus,proposed,Trump,37097,Other,500.0,confirmed,reported,500.0,500.0,500.0
deep-river-data-cumnock-lee-county-nc,"Deep River Data AI Data Center (Cumnock, Lee County)",proposed,Trump,37105,Other,,reported,model estimate,47.860297015644264,438.3847965549378,3770.0860434338597
digital-realty-charlotte-nc,Digital Realty Moores Chapel Data Center Campus,permitted,Harris,37119,Digital Realty,400.0,confirmed,reported,400.0,400.0,400.0
google-lenoir-nc,Google Lenoir Data Center,operational,Trump,37027,Google,,confirmed,model estimate,43.851575940673996,443.98397072906397,3938.8010144519044
impactdata-greensboro-nc,ImpactData Greensboro,under_construction,Harris,37081,Other,20.0,reported,reported,20.0,20.0,20.0
